,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9
true_0,0.9970267591674926,0.0,0.0,0.0009910802775024777,0.0,0.0,0.0009910802775024777,0.0,0.0,0.0009910802775024777
true_1,0.0,0.9982347749338041,0.0,0.0,0.0,0.00088261253309797,0.0,0.0,0.00088261253309797,0.0
true_2,0.000970873786407767,0.000970873786407767,0.9902912621359223,0.000970873786407767,0.0,0.0,0.0,0.002912621359223301,0.002912621359223301,0.000970873786407767
true_3,0.0,0.0,0.001,0.995,0.0,0.002,0.0,0.0,0.001,0.001
true_4,0.0,0.001037344398340249,0.0,0.0,0.9948132780082988,0.0,0.002074688796680498,0.001037344398340249,0.0,0.001037344398340249
true_5,0.0,0.0,0.0,0.0033482142857142855,0.0,0.9877232142857143,0.005580357142857143,0.0,0.002232142857142857,0.0011160714285714285
true_6,0.002034587995930824,0.001017293997965412,0.001017293997965412,0.0,0.0,0.001017293997965412,0.9918616480162767,0.0,0.003051881993896236,0.0
true_7,0.0,0.0027447392497712718,0.0,0.0,0.0,0.0,0.0,0.9963403476669717,0.0,0.0009149130832570906
true_8,0.0,0.002145922746781116,0.0,0.0,0.001072961373390558,0.0,0.0,0.0,0.9935622317596566,0.003218884120171674
true_9,0.0010416666666666667,0.0,0.0,0.0,0.0020833333333333333,0.0,0.0,0.0010416666666666667,0.0010416666666666667,0.9947916666666666
